Región;País;Rango de Edad;Profesión;Clase Social; Ingresos Anuales (USD) ;Invierte;Instrumento de Inversión
América Latina;México;66+;Médico;Media; $ 24.198,45 ;No;No invierte
América Latina;Chile;66+;Abogado;Media; $ 58.316,43 ;No;No invierte
Europa;Italia;46-55;Empresario;Baja; $ 11.125,53 ;Si;No invierte
América Latina;México;26-35;Docente;Baja; $ 7.466,60 ;Si;Oro
América Latina;Colombia;26-35;Ingeniero;Alta; $ 235.690,19 ;Si;Criptomonedas
NorteAmérica;EE.UU.;66+;Abogado;Media; $ 50.495,36 ;Si;No invierte
Europa;Italia;18-25;Docente;Baja; $ 12.181,31 ;Si;Acciones
NorteAmérica;Canadá;46-55;Contador;Baja; $ 13.359,08 ;Si;No invierte
América Latina;Brasil;26-35;Funcionario;Alta; $ 92.939,31 ;No;No invierte
NorteAmérica;Canadá;36-45;Funcionario;Baja; $ 8.074,32 ;No;No invierte
América Latina;Perú;26-35;Desarrollador;Alta; $ 126.341,54 ;No;No invierte
América Latina;Argentina;46-55;Contador;Media; $ 46.149,89 ;Si;Acciones
América Latina;Colombia;18-25;Desarrollador;Media; $ 53.056,91 ;Si;Oro
NorteAmérica;EE.UU.;18-25;Abogado;Alta; $ 143.816,27 ;Si;Fondos de inversiÃ³n
NorteAmérica;Canadá;18-25;Docente;Baja; $ 13.719,76 ;Si;Bienes Raíces
NorteAmérica;Canadá;26-35;Empresario;Alta; $ 400.661,90 ;Si;Fondos de inversiÃ³n
NorteAmérica;Canadá;18-25;Contador;Alta; $ 107.848,21 ;Si;No invierte
Europa;Alemania;46-55;Desarrollador;Media; $ 63.669,66 ;Si;Acciones
Europa;Italia;46-55;Ingeniero;Media; $ 59.567,74 ;Si;Bienes Raíces
América Latina;México;56-65;Artista;Alta; $ 85.413,09 ;Si;Fondos de inversiÃ³n
Europa;Alemania;56-65;Desarrollador;Baja; $ 19.106,40 ;No;No invierte
Europa;España;26-35;Abogado;Media; $ 77.695,77 ;Si;Bonos
Europa;Francia;36-45;Desarrollador;Media; $ 41.064,71 ;Si;Acciones
Europa;España;46-55;Contador;Alta; $ 243.557,78 ;Si;No invierte
Europa;España;26-35;Empresario;Alta; $ 225.807,82 ;Si;Bonos
NorteAmérica;Canadá;46-55;Científico;Alta; $ 138.840,95 ;Si;Acciones
América Latina;Argentina;66+;Ingeniero;Alta; $ 197.896,42 ;Si;Bienes Raíces
NorteAmérica;Canadá;46-55;Contador;Media; $ 26.951,28 ;Si;Bienes Raíces
América Latina;Colombia;36-45;Científico;Alta; $ 314.627,11 ;Si;Bonos
América Latina;Perú;56-65;Empresario;Baja; $ 15.066,93 ;Si;No invierte
Europa;Países Bajos;56-65;Empresario;Media; $ 74.146,73 ;Si;Criptomonedas
NorteAmérica;EE.UU.;66+;Médico;Media; $ 25.125,11 ;No;No invierte
América Latina;Perú;66+;Docente;Alta; $ 421.445,44 ;No;No invierte
América Latina;Colombia;46-55;Desarrollador;Media; $ 73.898,06 ;No;No invierte
Europa;Reino Unido;66+;Contador;Alta; $ 446.501,65 ;Si;Bienes Raíces
América Latina;Argentina;18-25;Científico;Media; $ 31.189,09 ;No;No invierte
Europa;Alemania;36-45;Desarrollador;Media; $ 20.241,47 ;Si;Bienes Raíces
América Latina;México;26-35;Empresario;Baja; $ 7.999,96 ;Si;Oro
NorteAmérica;EE.UU.;56-65;Contador;Baja; $ 13.919,68 ;Si;Acciones
América Latina;México;36-45;Contador;Baja; $ 9.218,06 ;Si;Criptomonedas
América Latina;Perú;56-65;Artista;Media; $ 63.480,50 ;Si;Bonos
NorteAmérica;EE.UU.;46-55;Científico;Media; $ 78.450,02 ;Si;Oro
Europa;Países Bajos;26-35;Artista;Media; $ 33.140,45 ;Si;Oro
Europa;Italia;36-45;Desarrollador;Media; $ 48.282,22 ;Si;No invierte
NorteAmérica;EE.UU.;66+;Médico;Baja; $ 15.099,43 ;Si;Fondos de inversiÃ³n
Europa;Países Bajos;36-45;Funcionario;Alta; $ 361.452,33 ;Si;Bonos
América Latina;México;56-65;Empresario;Baja; $ 9.345,07 ;Si;Criptomonedas
Europa;Italia;18-25;Ingeniero;Baja; $ 14.897,03 ;Si;Oro
Europa;Reino Unido;18-25;Contador;Baja; $ 18.863,10 ;Si;No invierte
América Latina;Argentina;56-65;Contador;Alta; $ 307.849,50 ;No;No invierte
América Latina;Chile;26-35;Docente;Baja; $ 19.011,34 ;No;No invierte
NorteAmérica;EE.UU.;36-45;Desarrollador;Media; $ 74.408,76 ;Si;No invierte
América Latina;Colombia;46-55;Empresario;Media; $ 65.052,07 ;Si;Bonos
Europa;Italia;46-55;Docente;Media; $ 56.568,34 ;Si;Oro
Europa;Francia;46-55;Científico;Media; $ 78.573,36 ;Si;Acciones
Europa;Reino Unido;18-25;Funcionario;Alta; $ 176.479,48 ;Si;Criptomonedas
NorteAmérica;Canadá;56-65;Científico;Baja; $ 18.055,38 ;Si;Fondos de inversiÃ³n
Europa;Países Bajos;18-25;Médico;Baja; $ 19.444,59 ;No;No invierte
Europa;Francia;18-25;Ingeniero;Alta; $ 392.883,01 ;Si;Bonos
Europa;Italia;26-35;Científico;Media; $ 61.267,54 ;No;No invierte
NorteAmérica;Canadá;66+;Docente;Baja; $ 12.721,38 ;Si;Criptomonedas
Europa;España;46-55;Ingeniero;Baja; $ 8.575,31 ;Si;Oro
América Latina;Brasil;18-25;Ingeniero;Alta; $ 174.022,98 ;Si;No invierte
NorteAmérica;EE.UU.;56-65;Científico;Alta; $ 198.857,48 ;Si;Bienes Raíces
América Latina;México;26-35;Abogado;Baja; $ 17.470,97 ;No;No invierte
NorteAmérica;EE.UU.;36-45;Ingeniero;Alta; $ 243.226,91 ;No;No invierte
Europa;Países Bajos;46-55;Empresario;Alta; $ 358.887,64 ;Si;Bienes Raíces
NorteAmérica;EE.UU.;36-45;Médico;Baja; $ 7.220,23 ;Si;Criptomonedas
Europa;Países Bajos;26-35;Científico;Baja; $ 6.038,36 ;Si;Fondos de inversiÃ³n
América Latina;Brasil;26-35;Médico;Alta; $ 474.910,86 ;No;No invierte
América Latina;Argentina;26-35;Desarrollador;Media; $ 28.206,19 ;No;No invierte
América Latina;Argentina;46-55;Ingeniero;Media; $ 36.526,00 ;Si;Fondos de inversiÃ³n
América Latina;Colombia;18-25;Docente;Media; $ 23.960,65 ;Si;No invierte
América Latina;Colombia;66+;Docente;Alta; $ 257.632,95 ;No;No invierte
NorteAmérica;Canadá;18-25;Docente;Alta; $ 260.682,09 ;No;No invierte
NorteAmérica;Canadá;18-25;Desarrollador;Baja; $ 6.717,88 ;Si;Oro
Europa;España;66+;Ingeniero;Baja; $ 17.405,40 ;Si;No invierte
NorteAmérica;EE.UU.;66+;Contador;Alta; $ 459.059,40 ;No;No invierte
Europa;Alemania;56-65;Funcionario;Baja; $ 5.181,00 ;Si;Bonos
América Latina;Colombia;18-25;Empresario;Baja; $ 5.019,01 ;Si;No invierte
América Latina;Perú;66+;Desarrollador;Alta; $ 239.446,31 ;Si;Acciones
América Latina;Chile;46-55;Funcionario;Alta; $ 107.396,54 ;No;No invierte
Europa;Francia;46-55;Contador;Alta; $ 308.594,00 ;No;No invierte
América Latina;Brasil;56-65;Docente;Alta; $ 222.941,00 ;Si;Fondos de inversiÃ³n
NorteAmérica;Canadá;26-35;Empresario;Baja; $ 17.722,26 ;No;No invierte
NorteAmérica;EE.UU.;18-25;Contador;Baja; $ 12.955,03 ;No;No invierte
América Latina;Brasil;36-45;Científico;Media; $ 64.111,54 ;Si;Acciones
América Latina;Chile;46-55;Científico;Alta; $ 316.094,12 ;Si;No invierte
NorteAmérica;Canadá;26-35;Empresario;Alta; $ 93.615,10 ;No;No invierte
Europa;Países Bajos;46-55;Empresario;Baja; $ 14.769,94 ;No;No invierte
NorteAmérica;EE.UU.;36-45;Abogado;Baja; $ 8.104,53 ;No;No invierte
América Latina;Chile;26-35;Médico;Baja; $ 17.131,11 ;Si;Criptomonedas
América Latina;Argentina;26-35;Funcionario;Media; $ 56.482,59 ;Si;Fondos de inversiÃ³n
NorteAmérica;Canadá;26-35;Contador;Baja; $ 15.955,96 ;No;No invierte
NorteAmérica;EE.UU.;18-25;Científico;Alta; $ 466.304,44 ;No;No invierte
América Latina;Argentina;56-65;Abogado;Baja; $ 9.104,88 ;No;No invierte
NorteAmérica;EE.UU.;56-65;Contador;Media; $ 47.824,53 ;No;No invierte
NorteAmérica;EE.UU.;36-45;Científico;Alta; $ 338.029,88 ;Si;Acciones
América Latina;México;66+;Científico;Baja; $ 8.818,19 ;Si;Fondos de inversiÃ³n
NorteAmérica;EE.UU.;46-55;Desarrollador;Alta; $ 201.381,69 ;Si;Bienes Raíces
Europa;Italia;36-45;Científico;Media; $ 49.472,09 ;Si;Bonos
América Latina;Chile;36-45;Médico;Media; $ 29.372,56 ;Si;Criptomonedas
NorteAmérica;EE.UU.;36-45;Médico;Alta; $ 271.485,26 ;No;No invierte
Europa;Países Bajos;26-35;Abogado;Media; $ 73.678,47 ;Si;Fondos de inversiÃ³n
Europa;España;18-25;Ingeniero;Media; $ 75.634,01 ;Si;Oro
Europa;Reino Unido;56-65;Docente;Media; $ 59.822,05 ;No;No invierte
NorteAmérica;Canadá;66+;Empresario;Media; $ 39.858,78 ;Si;Fondos de inversiÃ³n
Europa;España;56-65;Artista;Media; $ 36.978,00 ;Si;Bienes Raíces
NorteAmérica;EE.UU.;66+;Funcionario;Baja; $ 11.557,96 ;Si;Fondos de inversiÃ³n
NorteAmérica;Canadá;56-65;Desarrollador;Alta; $ 206.099,17 ;Si;Criptomonedas
Europa;Francia;26-35;Empresario;Media; $ 51.546,78 ;Si;Fondos de inversiÃ³n
NorteAmérica;EE.UU.;36-45;Empresario;Media; $ 65.862,01 ;Si;Bienes Raíces
América Latina;Argentina;26-35;Funcionario;Media; $ 32.852,42 ;Si;Bienes Raíces
Europa;Reino Unido;46-55;Abogado;Baja; $ 10.802,22 ;Si;Acciones
Europa;Francia;18-25;Ingeniero;Media; $ 71.608,18 ;Si;Bienes Raíces
NorteAmérica;EE.UU.;46-55;Científico;Alta; $ 99.919,74 ;Si;Acciones
América Latina;Perú;36-45;Docente;Media; $ 67.188,48 ;Si;Fondos de inversiÃ³n
América Latina;México;36-45;Artista;Alta; $ 143.002,46 ;Si;No invierte
NorteAmérica;EE.UU.;18-25;Contador;Baja; $ 14.983,17 ;Si;Fondos de inversiÃ³n
América Latina;Perú;46-55;Artista;Baja; $ 11.323,23 ;No;No invierte
América Latina;México;36-45;Artista;Baja; $ 13.249,26 ;Si;Bienes Raíces
NorteAmérica;Canadá;36-45;Docente;Media; $ 53.783,83 ;Si;Acciones
NorteAmérica;EE.UU.;36-45;Desarrollador;Alta; $ 115.714,32 ;No;No invierte
NorteAmérica;Canadá;56-65;Desarrollador;Alta; $ 187.562,30 ;Si;Bienes Raíces
NorteAmérica;Canadá;18-25;Docente;Alta; $ 148.241,43 ;Si;Bonos
Europa;Países Bajos;36-45;Abogado;Media; $ 51.035,14 ;Si;Criptomonedas
América Latina;Brasil;18-25;Docente;Alta; $ 294.430,86 ;Si;Criptomonedas
Europa;Francia;46-55;Funcionario;Baja; $ 18.257,17 ;Si;Bonos
NorteAmérica;Canadá;26-35;Funcionario;Media; $ 49.339,41 ;Si;Oro
América Latina;México;36-45;Ingeniero;Alta; $ 312.799,48 ;No;No invierte
Europa;España;46-55;Artista;Alta; $ 108.111,52 ;Si;Oro
NorteAmérica;Canadá;36-45;Ingeniero;Alta; $ 272.439,05 ;Si;Bonos
Europa;Alemania;46-55;Empresario;Alta; $ 191.087,44 ;Si;Criptomonedas
América Latina;Perú;56-65;Docente;Baja; $ 13.772,05 ;Si;Acciones
Europa;Países Bajos;66+;Médico;Alta; $ 251.034,68 ;Si;No invierte
Europa;Italia;46-55;Desarrollador;Baja; $ 18.063,21 ;Si;Bonos
NorteAmérica;EE.UU.;46-55;Científico;Baja; $ 17.875,46 ;No;No invierte
NorteAmérica;Canadá;26-35;Contador;Alta; $ 355.801,83 ;Si;Fondos de inversiÃ³n
Europa;Países Bajos;36-45;Desarrollador;Baja; $ 5.146,19 ;Si;Bienes Raíces
NorteAmérica;Canadá;56-65;Docente;Alta; $ 410.500,50 ;Si;No invierte
NorteAmérica;Canadá;18-25;Científico;Baja; $ 9.006,51 ;Si;Oro
NorteAmérica;Canadá;56-65;Contador;Alta; $ 147.164,27 ;Si;Criptomonedas
América Latina;México;26-35;Científico;Media; $ 31.635,00 ;No;No invierte
América Latina;Chile;46-55;Médico;Media; $ 51.030,73 ;Si;Bienes Raíces
Europa;Países Bajos;46-55;Artista;Baja; $ 7.914,72 ;Si;No invierte
NorteAmérica;Canadá;26-35;Científico;Media; $ 71.754,81 ;Si;Criptomonedas
América Latina;México;18-25;Ingeniero;Baja; $ 12.934,98 ;Si;Bienes Raíces
Europa;Países Bajos;66+;Funcionario;Media; $ 25.361,85 ;Si;No invierte
NorteAmérica;EE.UU.;46-55;Médico;Media; $ 54.446,76 ;Si;Bienes Raíces
Europa;Italia;26-35;Médico;Baja; $ 12.679,90 ;Si;Acciones
NorteAmérica;Canadá;26-35;Científico;Media; $ 30.383,08 ;Si;Criptomonedas
NorteAmérica;EE.UU.;18-25;Contador;Media; $ 41.502,96 ;Si;Criptomonedas
Europa;Reino Unido;36-45;Empresario;Media; $ 61.563,66 ;Si;Oro
América Latina;Perú;18-25;Docente;Alta; $ 296.662,07 ;Si;No invierte
NorteAmérica;Canadá;66+;Contador;Media; $ 28.731,77 ;Si;Acciones
NorteAmérica;EE.UU.;66+;Desarrollador;Media; $ 29.587,97 ;No;No invierte
NorteAmérica;EE.UU.;46-55;Artista;Baja; $ 13.654,66 ;Si;Bonos
NorteAmérica;EE.UU.;26-35;Empresario;Baja; $ 12.944,03 ;Si;Bonos
NorteAmérica;Canadá;56-65;Funcionario;Alta; $ 80.577,36 ;Si;Fondos de inversiÃ³n
NorteAmérica;Canadá;56-65;Abogado;Baja; $ 8.955,44 ;No;No invierte
América Latina;Colombia;18-25;Contador;Alta; $ 342.096,15 ;Si;Fondos de inversiÃ³n
Europa;Reino Unido;36-45;Empresario;Alta; $ 214.858,42 ;Si;Oro
NorteAmérica;EE.UU.;26-35;Empresario;Alta; $ 207.358,13 ;No;No invierte
Europa;España;18-25;Funcionario;Baja; $ 5.429,30 ;Si;No invierte
Europa;España;46-55;Abogado;Baja; $ 10.312,90 ;No;No invierte
América Latina;México;46-55;Científico;Alta; $ 465.561,15 ;Si;Bienes Raíces
NorteAmérica;Canadá;66+;Ingeniero;Baja; $ 8.399,61 ;No;No invierte
Europa;Francia;66+;Médico;Alta; $ 148.222,54 ;Si;Acciones
NorteAmérica;EE.UU.;36-45;Médico;Alta; $ 284.116,21 ;Si;Bonos
América Latina;Chile;56-65;Contador;Media; $ 62.400,37 ;Si;Oro
NorteAmérica;EE.UU.;66+;Empresario;Baja; $ 11.665,84 ;Si;Bonos
NorteAmérica;Canadá;56-65;Desarrollador;Media; $ 49.346,32 ;No;No invierte
NorteAmérica;EE.UU.;46-55;Funcionario;Baja; $ 8.698,73 ;No;No invierte
Europa;Países Bajos;66+;Abogado;Alta; $ 84.405,14 ;Si;Bonos
Europa;Países Bajos;18-25;Médico;Baja; $ 7.255,97 ;Si;No invierte
Europa;España;66+;Desarrollador;Baja; $ 17.469,51 ;No;No invierte
NorteAmérica;EE.UU.;18-25;Empresario;Media; $ 46.221,07 ;Si;Oro
Europa;Reino Unido;46-55;Artista;Media; $ 30.746,03 ;No;No invierte
NorteAmérica;EE.UU.;26-35;Empresario;Baja; $ 5.671,86 ;Si;Bonos
América Latina;Argentina;66+;Empresario;Baja; $ 16.516,12 ;No;No invierte
América Latina;Chile;26-35;Abogado;Alta; $ 478.172,82 ;Si;Fondos de inversiÃ³n
NorteAmérica;Canadá;26-35;Empresario;Alta; $ 296.262,12 ;No;No invierte
América Latina;México;56-65;Docente;Media; $ 72.313,27 ;Si;Bienes Raíces
Europa;Países Bajos;36-45;Empresario;Media; $ 43.072,17 ;Si;Oro
NorteAmérica;Canadá;56-65;Médico;Baja; $ 13.441,59 ;Si;Bonos
Europa;Alemania;36-45;Funcionario;Baja; $ 10.050,93 ;Si;Bonos
NorteAmérica;EE.UU.;36-45;Empresario;Baja; $ 10.268,24 ;No;No invierte
América Latina;Colombia;18-25;Médico;Media; $ 62.836,40 ;Si;Fondos de inversiÃ³n
Europa;España;36-45;Médico;Media; $ 45.203,97 ;Si;Bonos
América Latina;Argentina;66+;Funcionario;Baja; $ 12.780,26 ;Si;Acciones
Europa;Italia;56-65;Empresario;Baja; $ 11.837,54 ;Si;Bonos
América Latina;Brasil;18-25;Contador;Alta; $ 249.076,61 ;No;No invierte
Europa;Francia;36-45;Desarrollador;Alta; $ 352.717,37 ;Si;Oro
Europa;Alemania;66+;Científico;Media; $ 56.987,79 ;No;No invierte
Europa;Reino Unido;46-55;Docente;Baja; $ 9.783,97 ;Si;Bienes Raíces
América Latina;Colombia;46-55;Contador;Media; $ 52.152,19 ;No;No invierte
Europa;Francia;56-65;Científico;Alta; $ 364.500,40 ;Si;Bienes Raíces
NorteAmérica;EE.UU.;26-35;Científico;Alta; $ 457.750,49 ;Si;Fondos de inversiÃ³n
América Latina;Argentina;56-65;Desarrollador;Baja; $ 15.824,04 ;Si;Fondos de inversiÃ³n
NorteAmérica;EE.UU.;66+;Científico;Media; $ 42.585,78 ;Si;No invierte
América Latina;Chile;36-45;Médico;Alta; $ 381.722,43 ;No;No invierte
NorteAmérica;EE.UU.;36-45;Artista;Media; $ 79.765,98 ;Si;Oro
NorteAmérica;EE.UU.;56-65;Científico;Baja; $ 10.329,59 ;Si;Acciones
NorteAmérica;Canadá;18-25;Científico;Baja; $ 16.361,85 ;No;No invierte
NorteAmérica;EE.UU.;26-35;Empresario;Media; $ 24.252,05 ;Si;Acciones
NorteAmérica;EE.UU.;66+;Docente;Alta; $ 217.311,40 ;No;No invierte
América Latina;México;66+;Artista;Baja; $ 15.182,37 ;Si;Criptomonedas
América Latina;Brasil;56-65;Científico;Media; $ 24.630,20 ;Si;Bienes Raíces
América Latina;Colombia;36-45;Médico;Baja; $ 9.986,54 ;Si;Criptomonedas
NorteAmérica;Canadá;26-35;Docente;Media; $ 29.080,91 ;Si;Fondos de inversiÃ³n
NorteAmérica;Canadá;26-35;Científico;Alta; $ 187.368,69 ;No;No invierte
América Latina;Chile;36-45;Médico;Alta; $ 247.065,17 ;No;No invierte
Europa;Alemania;46-55;Funcionario;Media; $ 26.972,62 ;Si;Bonos
América Latina;Argentina;36-45;Artista;Media; $ 26.533,93 ;Si;Bienes Raíces
Europa;España;36-45;Docente;Baja; $ 8.784,68 ;No;No invierte
Europa;Países Bajos;26-35;Desarrollador;Alta; $ 275.117,05 ;Si;Fondos de inversiÃ³n
NorteAmérica;Canadá;46-55;Abogado;Baja; $ 16.564,71 ;Si;Oro
Europa;Italia;46-55;Contador;Alta; $ 329.349,51 ;No;No invierte
NorteAmérica;EE.UU.;66+;Ingeniero;Baja; $ 10.612,51 ;No;No invierte
Europa;Francia;26-35;Ingeniero;Alta; $ 327.075,05 ;Si;Bienes Raíces
NorteAmérica;EE.UU.;66+;Médico;Baja; $ 16.158,49 ;Si;Criptomonedas
NorteAmérica;EE.UU.;36-45;Artista;Media; $ 30.485,80 ;No;No invierte
Europa;Reino Unido;56-65;Científico;Alta; $ 409.849,03 ;Si;Bienes Raíces
América Latina;Argentina;46-55;Docente;Media; $ 58.513,19 ;Si;Acciones
Europa;Reino Unido;26-35;Abogado;Alta; $ 222.428,55 ;Si;Oro
América Latina;México;56-65;Abogado;Alta; $ 83.737,60 ;Si;Oro
América Latina;México;66+;Empresario;Baja; $ 7.872,31 ;No;No invierte
Europa;España;66+;Ingeniero;Baja; $ 6.010,72 ;Si;Bienes Raíces
América Latina;México;66+;Funcionario;Media; $ 50.553,73 ;Si;Acciones
América Latina;Brasil;56-65;Abogado;Baja; $ 18.425,98 ;No;No invierte
NorteAmérica;Canadá;46-55;Abogado;Media; $ 43.733,25 ;No;No invierte
Europa;Francia;66+;Abogado;Baja; $ 5.208,18 ;Si;Bonos
Europa;Reino Unido;56-65;Médico;Alta; $ 190.747,14 ;Si;Bienes Raíces
América Latina;Brasil;36-45;Funcionario;Baja; $ 10.618,63 ;No;No invierte
América Latina;Argentina;66+;Científico;Media; $ 39.919,62 ;Si;Oro
NorteAmérica;Canadá;56-65;Ingeniero;Media; $ 45.659,16 ;Si;Bienes Raíces
NorteAmérica;EE.UU.;56-65;Abogado;Baja; $ 9.260,44 ;Si;Fondos de inversiÃ³n
Europa;Italia;18-25;Médico;Media; $ 21.326,45 ;Si;Bonos
Europa;España;56-65;Docente;Media; $ 41.805,70 ;Si;Bonos
América Latina;Chile;36-45;Abogado;Alta; $ 97.389,26 ;No;No invierte
NorteAmérica;Canadá;26-35;Funcionario;Baja; $ 7.036,85 ;Si;Bonos
América Latina;Chile;66+;Desarrollador;Media; $ 78.455,47 ;Si;No invierte
Europa;Reino Unido;66+;Médico;Media; $ 58.786,53 ;No;No invierte
NorteAmérica;EE.UU.;46-55;Docente;Media; $ 41.283,13 ;No;No invierte
América Latina;Brasil;18-25;Científico;Baja; $ 9.579,63 ;No;No invierte
América Latina;México;46-55;Funcionario;Baja; $ 6.749,78 ;Si;Criptomonedas
América Latina;México;26-35;Médico;Media; $ 25.870,90 ;Si;Oro
Europa;Países Bajos;18-25;Contador;Baja; $ 17.816,55 ;Si;Bienes Raíces
Europa;España;66+;Desarrollador;Media; $ 45.654,82 ;Si;Criptomonedas
NorteAmérica;Canadá;36-45;Empresario;Baja; $ 7.163,66 ;Si;Criptomonedas
NorteAmérica;EE.UU.;46-55;Funcionario;Media; $ 68.538,34 ;Si;Acciones
América Latina;Argentina;18-25;Abogado;Media; $ 78.593,95 ;Si;Criptomonedas
Europa;Francia;46-55;Médico;Media; $ 50.011,42 ;No;No invierte
NorteAmérica;Canadá;66+;Funcionario;Media; $ 35.023,03 ;Si;Oro
NorteAmérica;EE.UU.;26-35;Ingeniero;Baja; $ 5.659,01 ;Si;Oro
América Latina;Chile;46-55;Desarrollador;Baja; $ 8.405,74 ;Si;No invierte
NorteAmérica;Canadá;56-65;Abogado;Alta; $ 156.733,39 ;No;No invierte
América Latina;Chile;66+;Artista;Baja; $ 14.417,29 ;Si;Bienes Raíces
América Latina;Argentina;66+;Ingeniero;Baja; $ 14.823,13 ;No;No invierte
Europa;Alemania;66+;Científico;Baja; $ 7.209,51 ;Si;Bienes Raíces
Europa;Alemania;46-55;Desarrollador;Baja; $ 13.284,10 ;Si;No invierte
América Latina;Argentina;26-35;Funcionario;Baja; $ 5.031,20 ;Si;Criptomonedas
América Latina;Brasil;46-55;Funcionario;Baja; $ 14.010,71 ;Si;Criptomonedas
Europa;Alemania;36-45;Científico;Media; $ 30.507,84 ;Si;Criptomonedas
América Latina;Brasil;46-55;Contador;Alta; $ 414.585,45 ;No;No invierte
NorteAmérica;Canadá;56-65;Médico;Alta; $ 142.167,43 ;Si;Fondos de inversiÃ³n
NorteAmérica;Canadá;56-65;Ingeniero;Baja; $ 8.700,70 ;Si;Fondos de inversiÃ³n
Europa;Países Bajos;18-25;Científico;Baja; $ 7.420,23 ;Si;Oro
América Latina;México;18-25;Médico;Alta; $ 202.608,26 ;Si;Criptomonedas
NorteAmérica;Canadá;36-45;Artista;Alta; $ 138.303,02 ;No;No invierte
NorteAmérica;Canadá;36-45;Desarrollador;Alta; $ 396.792,31 ;Si;Bonos
América Latina;México;66+;Docente;Alta; $ 185.401,40 ;Si;Fondos de inversiÃ³n
NorteAmérica;Canadá;26-35;Abogado;Alta; $ 289.259,93 ;Si;Bienes Raíces
NorteAmérica;EE.UU.;26-35;Artista;Alta; $ 125.424,47 ;No;No invierte
América Latina;Chile;36-45;Funcionario;Alta; $ 266.072,09 ;No;No invierte
NorteAmérica;Canadá;56-65;Médico;Media; $ 77.476,89 ;Si;Criptomonedas
NorteAmérica;Canadá;26-35;Ingeniero;Media; $ 50.825,00 ;Si;Bonos
América Latina;México;36-45;Científico;Alta; $ 366.096,69 ;Si;Bienes Raíces
NorteAmérica;Canadá;46-55;Docente;Media; $ 61.362,97 ;Si;Fondos de inversiÃ³n
NorteAmérica;Canadá;18-25;Contador;Media; $ 34.345,10 ;Si;No invierte
América Latina;México;36-45;Abogado;Baja; $ 10.752,96 ;No;No invierte
NorteAmérica;Canadá;66+;Contador;Alta; $ 477.580,29 ;Si;No invierte
América Latina;Brasil;36-45;Abogado;Media; $ 27.438,75 ;Si;Oro
Europa;Italia;66+;Docente;Baja; $ 19.295,10 ;Si;Oro
Europa;Reino Unido;46-55;Artista;Alta; $ 444.030,52 ;Si;No invierte
Europa;Reino Unido;46-55;Contador;Media; $ 57.339,09 ;Si;Criptomonedas
NorteAmérica;Canadá;56-65;Funcionario;Baja; $ 6.258,24 ;Si;Criptomonedas
NorteAmérica;EE.UU.;18-25;Funcionario;Alta; $ 203.414,44 ;No;No invierte
Europa;Italia;56-65;Abogado;Alta; $ 314.058,34 ;Si;No invierte
Europa;Alemania;56-65;Empresario;Media; $ 20.271,55 ;No;No invierte
América Latina;Perú;18-25;Desarrollador;Media; $ 56.229,82 ;Si;Acciones
América Latina;México;66+;Artista;Alta; $ 157.960,49 ;Si;Acciones
América Latina;Perú;66+;Contador;Alta; $ 222.805,10 ;Si;Fondos de inversiÃ³n
América Latina;México;56-65;Médico;Alta; $ 233.459,90 ;No;No invierte
NorteAmérica;EE.UU.;26-35;Médico;Alta; $ 497.778,80 ;No;No invierte
América Latina;Chile;56-65;Docente;Alta; $ 164.199,57 ;Si;Bienes Raíces
América Latina;México;26-35;Desarrollador;Baja; $ 14.342,08 ;No;No invierte
NorteAmérica;EE.UU.;36-45;Ingeniero;Alta; $ 302.165,93 ;Si;Bonos
NorteAmérica;EE.UU.;66+;Ingeniero;Media; $ 67.530,08 ;Si;Criptomonedas
América Latina;México;36-45;Médico;Alta; $ 156.764,90 ;Si;Bonos
América Latina;Perú;36-45;Desarrollador;Alta; $ 440.441,85 ;No;No invierte
NorteAmérica;Canadá;36-45;Empresario;Media; $ 26.670,10 ;Si;Acciones
NorteAmérica;Canadá;56-65;Abogado;Alta; $ 189.316,14 ;Si;Fondos de inversiÃ³n
Europa;España;26-35;Artista;Baja; $ 5.640,41 ;Si;Oro
NorteAmérica;Canadá;26-35;Desarrollador;Alta; $ 409.216,91 ;Si;Fondos de inversiÃ³n
NorteAmérica;Canadá;66+;Contador;Baja; $ 19.473,35 ;Si;No invierte
América Latina;Chile;36-45;Ingeniero;Media; $ 69.285,69 ;Si;Bienes Raíces
Europa;Reino Unido;18-25;Ingeniero;Media; $ 21.984,51 ;No;No invierte
Europa;Italia;36-45;Abogado;Alta; $ 191.436,32 ;Si;Bienes Raíces
Europa;Reino Unido;66+;Funcionario;Baja; $ 18.279,67 ;Si;Criptomonedas
América Latina;Chile;46-55;Empresario;Media; $ 49.580,54 ;No;No invierte
Europa;Italia;56-65;Contador;Baja; $ 14.030,66 ;Si;Bonos
América Latina;Colombia;36-45;Docente;Baja; $ 17.478,45 ;Si;Oro
Europa;España;36-45;Empresario;Alta; $ 214.778,10 ;Si;Bienes Raíces
Europa;Reino Unido;26-35;Médico;Baja; $ 17.532,12 ;Si;Fondos de inversiÃ³n
NorteAmérica;EE.UU.;26-35;Desarrollador;Baja; $ 12.945,74 ;No;No invierte
NorteAmérica;Canadá;36-45;Contador;Media; $ 31.996,85 ;No;No invierte
Europa;Reino Unido;56-65;Docente;Media; $ 44.585,05 ;No;No invierte
NorteAmérica;Canadá;18-25;Docente;Media; $ 25.881,83 ;No;No invierte
América Latina;Brasil;36-45;Docente;Media; $ 28.114,18 ;No;No invierte
